Modelo_Auto,Ano_Auto,ID_Modelo,Pais_Venta,Continente_Venta,Marca_Auto,Segmento_Auto,Es_Electrico,Tipo_Transmision,Es_Nuevo,Unidades_Vendidas,Total_Ventas
Kona,2018,P6903-81,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Automático,No,4041,170155081.49
Cherokee,2021,H1753-87,España,Europa,Jeep,SUV Mediano,No,Manual,No,2234,58486116.54
Model 3,2021,V8203-21,Canadá,América,Tesla,Sedan,Sí,Automático,No,4140,234609257.1
Q5,2021,A1258-77,Francia,Europa,Audi,SUV Premium,No,Automático,No,1298,23445821.25
Q5,2016,B2515-48,Francia,Europa,Audi,SUV Premium,No,Automático,No,4182,222667622.71
Sprinter,2015,E4479-77,Argentina,América,Mercedes-Benz,Comercial,No,Manual,No,2950,67798889.5
Q5,2022,Y9102-56,Corea del Sur,Asia,Audi,SUV Premium,No,Automático,No,2566,130847426.56
Camry,2020,X9761-55,Japón,Asia,Toyota,Sedan Mediano,No,Manual,No,2564,177297930.85
Kona,2021,C7670-51,Francia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,1549,141973714.82
Q5,2018,A7357-56,India,Asia,Audi,SUV Premium,No,Manual,No,4923,178758135.29
Kona,2017,Y1602-96,Italia,Europa,Hyundai,SUV Subcompacto,No,Manual,No,1489,50788050.95
Civic,2020,J3422-42,México,América,Honda,Compacto,No,Automático,No,4936,225281316.37
Sprinter,2021,L3093-94,México,América,Mercedes-Benz,Comercial,No,Automático,No,1264,65832349.03
Sprinter,2022,I7989-50,Japón,Asia,Mercedes-Benz,Comercial,No,Manual,No,2228,216806015.9
Sprinter,2015,G6175-78,Italia,Europa,Mercedes-Benz,Comercial,No,Automático,No,3589,34259555.91
Sprinter,2015,Z4399-30,Corea del Sur,Asia,Mercedes-Benz,Comercial,No,Manual,No,3798,33044431.54
3 Series,2023,B2217-11,España,Europa,BMW,Sedan Premium,No,Automático,Sí,1614,64937449.56
Golf,2017,Q3601-31,Canadá,América,Volkswagen,Compacto,No,Manual,No,4147,36185845.51
F-150,2017,K5665-98,China,Asia,Ford,Pickup Grande,No,Automático,No,4135,156939800.18
Corolla,2017,I7414-56,China,Asia,Toyota,Compacto,No,Automático,No,3769,140361706.56
Golf,2023,P6352-80,Reino Unido,Europa,Volkswagen,Compacto,Sí,Automático,Sí,789,51594982.17
Golf,2017,M4149-32,Corea del Sur,Asia,Volkswagen,Compacto,No,Automático,No,126,72174101.86
F-150,2017,E8187-43,Francia,Europa,Ford,Pickup Grande,No,Automático,No,4697,211230312.65
F-150,2019,Z3109-96,India,Asia,Ford,Pickup Grande,No,Automático,No,1531,133880124.3
3 Series,2024,E9117-72,India,Asia,BMW,Sedan Premium,No,Automático,Sí,2159,54473579.89
Fusion,2022,Q6243-87,Francia,Europa,Ford,Sedan,No,Automático,No,4552,186710560.15
Sprinter,2024,L6423-96,México,América,Mercedes-Benz,Comercial,No,Manual,No,3284,108662557.27
Sprinter,2019,A8269-64,Brasil,América,Mercedes-Benz,Comercial,No,Manual,No,3658,7111881.57
Focus,2024,T7907-21,China,Asia,Ford,Compacto,No,Automático,Sí,649,205880700.74
Civic,2019,Z8145-99,Australia,Oceanía,Honda,Compacto,No,Manual,No,1910,120034029.25
Camry,2021,U2333-53,India,Asia,Toyota,Sedan Mediano,No,Automático,No,3361,121252524.14
Q5,2020,A9118-85,México,América,Audi,SUV Premium,No,Manual,No,3927,213344739.83
Model 3,2019,G2107-45,India,Asia,Tesla,Sedan,Sí,Manual,No,1832,192838803.59
Fusion,2024,Y7406-76,Japón,Asia,Ford,Sedan,No,Manual,Sí,2303,129498806.84
Camry,2017,L7865-38,Canadá,América,Toyota,Sedan Mediano,No,Automático,No,3728,182938657.1
Kona,2017,Y4230-92,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Manual,No,4626,160012680.63
Fusion,2023,M9510-72,Italia,Europa,Ford,Sedan,No,Manual,Sí,3944,13361921.81
Corolla,2023,O1399-89,Sudáfrica,África,Toyota,Compacto,No,Manual,Sí,2760,83617592.38
Kona,2020,G9454-65,Italia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,4952,127767602.36
Tucson,2019,G3738-10,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,No,2627,189540146.76
Focus,2020,C6388-72,Canadá,América,Ford,Compacto,No,Automático,No,3886,118197211.48
Mustang,2020,O5641-39,Reino Unido,Europa,Ford,Deportivo,No,Manual,No,2823,208284690.15
3 Series,2020,M6239-19,Brasil,América,BMW,Sedan Premium,No,Manual,No,4163,15091854.56
Corolla,2020,R8482-53,Brasil,América,Toyota,Compacto,No,Manual,No,3623,230145729.32
RAV4,2023,U9546-68,México,América,Toyota,SUV Compacto,No,Manual,Sí,1471,130991418.1
CX-5,2023,I1720-26,Alemania,Europa,Mazda,SUV Compacto,No,Automático,Sí,1641,151861779.74
Model 3,2019,R3249-45,Japón,Asia,Tesla,Sedan,Sí,Manual,No,2159,66943521.52
RAV4,2024,H2173-95,India,Asia,Toyota,SUV Compacto,Sí,Manual,Sí,1113,48304188.35
